1,14.23000,1.71000,2.43000,15.60000,127.00000,2.80000,3.06000,0.28000,2.29000,5.64000,1.04000,3.92000,1065.00000
1,13.20000,1.78000,2.14000,11.20000,100.00000,2.65000,2.76000,0.26000,1.28000,4.38000,1.05000,3.40000,1050.00000
1,13.16000,2.36000,2.67000,18.60000,101.00000,2.80000,3.24000,0.30000,2.81000,5.68000,1.03000,3.17000,1185.00000
1,14.37000,1.95000,2.50000,16.80000,113.00000,3.85000,3.49000,0.24000,2.18000,7.80000,0.86000,3.45000,1480.00000
1,13.24000,2.59000,2.87000,21.00000,118.00000,2.80000,2.69000,0.39000,1.82000,4.32000,1.04000,2.93000,735.00000
1,14.20000,1.76000,2.45000,15.20000,112.00000,3.27000,3.39000,0.34000,1.97000,6.75000,1.05000,2.85000,1450.00000
1,14.39000,1.87000,2.45000,14.60000,96.00000,2.50000,2.52000,0.30000,1.98000,5.25000,1.02000,3.58000,1290.00000
1,14.06000,2.15000,2.61000,17.60000,121.00000,2.60000,2.51000,0.31000,1.25000,5.05000,1.06000,3.58000,1295.00000
1,14.83000,1.64000,2.17000,14.00000,97.00000,2.80000,2.98000,0.29000,1.98000,5.20000,1.08000,2.85000,1045.00000
1,13.86000,1.35000,2.27000,16.00000,98.00000,2.98000,3.15000,0.22000,1.85000,7.22000,1.01000,3.55000,1045.00000
1,14.10000,2.16000,2.30000,18.00000,105.00000,2.95000,3.32000,0.22000,2.38000,5.75000,1.25000,3.17000,1510.00000
1,14.12000,1.48000,2.32000,16.80000,95.00000,2.20000,2.43000,0.26000,1.57000,5.00000,1.17000,2.82000,1280.00000
1,13.75000,1.73000,2.41000,16.00000,89.00000,2.60000,2.76000,0.29000,1.81000,5.60000,1.15000,2.90000,1320.00000
1,14.75000,1.73000,2.39000,11.40000,91.00000,3.10000,3.69000,0.43000,2.81000,5.40000,1.25000,2.73000,1150.00000
1,14.38000,1.87000,2.38000,12.00000,102.00000,3.30000,3.64000,0.29000,2.96000,7.50000,1.20000,3.00000,1547.00000
1,13.63000,1.81000,2.70000,17.20000,112.00000,2.85000,2.91000,0.30000,1.46000,7.30000,1.28000,2.88000,1310.00000
